ID_Transakcji,Data,Kategoria,Produkt,Cena_Jednostkowa,Liczba_Sztuk,Wartosc_Zamowienia,Koszt_Dostawy,Calkowita_Wartosc,Region
T20241120-000,2024-11-20,Elektronika,Smartwatch FitPro,703.0,4,2812.0,20.0,2832.0,Północny
T20240315-000,2024-03-15,Zabawki,Auto zdalnie sterowane RacerX,218.4,1,218.4,20.0,238.4,Południowy
T20240204-001,2024-02-04,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,2,392.4,20.0,412.4,Wschodni
T20240218-000,2024-02-18,Odzież,Buty sportowe RunFast,284.0,2,568.0,20.0,588.0,Południowy
T20240920-000,2024-09-20,Książki,Poradnik 'Skuteczny Excel',63.02,1,63.02,8.0,71.02,Północny
T20240525-000,2024-05-25,Elektronika,Smartfon Galaxy X20,2228.0,1,2228.0,40.0,2268.0,Południowy
T20240411-000,2024-04-11,Książki,Atlas Świata 2024,97.1,3,291.3,8.0,299.3,Zachodni
T20240520-000,2024-05-20,Elektronika,Smartfon Galaxy X20,2228.0,1,2228.0,40.0,2268.0,Centralny
T20241004-000,2024-10-04,Odzież,Kurtka zimowa męska Alpine,378.4,2,756.8,20.0,776.8,Zachodni
T20240910-002,2024-09-10,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Wschodni
T20241227-000,2024-12-27,Odzież,Sukienka letnia Sunshine,160.2,3,480.6,12.0,492.6,Południowy
T20241226-000,2024-12-26,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,1,196.2,20.0,216.2,Centralny
T20240701-000,2024-07-01,Dom i ogród,Narzędzia ogrodnicze Garden+,180.1,1,180.1,12.0,192.1,Centralny
T20240915-000,2024-09-15,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Centralny
T20240417-000,2024-04-17,Elektronika,Tablet MediaPad 10,1392.0,1,1392.0,40.0,1432.0,Wschodni
T20240710-000,2024-07-10,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,1,307.8,12.0,319.8,Wschodni
T20241012-000,2024-10-12,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,1,307.8,12.0,319.8,Południowy
T20240501-000,2024-05-01,Dom i ogród,Lampa stojąca Modern,237.8,1,237.8,20.0,257.8,Zachodni
T20241010-000,2024-10-10,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,1,196.2,20.0,216.2,Zachodni
T20240611-001,2024-06-11,Zabawki,Auto zdalnie sterowane RacerX,218.4,2,436.8,20.0,456.8,Zachodni
T20240514-000,2024-05-14,Dom i ogród,Lampa stojąca Modern,237.8,1,237.8,20.0,257.8,Zachodni
T20240430-000,2024-04-30,Dom i ogród,Narzędzia ogrodnicze Garden+,180.1,2,360.2,12.0,372.2,Wschodni
T20240817-000,2024-08-17,Odzież,Spodnie jeansowe ClassicBlue,172.2,2,344.4,12.0,356.4,Południowy
T20240707-000,2024-07-07,Elektronika,Smartfon Galaxy X20,2228.0,1,2228.0,40.0,2268.0,Centralny
T20241128-000,2024-11-28,Artykuły sportowe,Rower górski XTerra,1763.0,1,1763.0,40.0,1803.0,Północny
T20240203-000,2024-02-03,Artykuły sportowe,Mata do jogi Comfort,87.4,2,174.8,12.0,186.8,Wschodni
T20240410-000,2024-04-10,Książki,Kryminał 'Ciemna Noc',39.92,1,39.92,8.0,47.92,Wschodni
T20241212-001,2024-12-12,Artykuły sportowe,Mata do jogi Comfort,87.4,1,87.4,12.0,99.4,Południowy
T20241110-000,2024-11-10,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,3,3409.2,40.0,3449.2,Północny
T20240505-000,2024-05-05,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,1,1136.4,40.0,1176.4,Centralny
T20241103-000,2024-11-03,Dom i ogród,Lampa stojąca Modern,237.8,1,237.8,20.0,257.8,Północny
T20241018-000,2024-10-18,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,2,914.4,20.0,934.4,Zachodni
T20240306-000,2024-03-06,Książki,Poradnik 'Skuteczny Excel',63.02,1,63.02,8.0,71.02,Południowy
T20241118-000,2024-11-18,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,1,457.2,20.0,477.2,Południowy
T20240110-000,2024-01-10,Dom i ogród,Narzędzia ogrodnicze Garden+,180.1,1,180.1,12.0,192.1,Południowy
T20240727-000,2024-07-27,Artykuły sportowe,Hantle 5kg zestaw,146.0,1,146.0,20.0,166.0,Zachodni
T20240426-000,2024-04-26,Odzież,Sukienka letnia Sunshine,160.2,1,160.2,12.0,172.2,Centralny
T20240805-000,2024-08-05,Książki,Atlas Świata 2024,97.1,1,97.1,8.0,105.1,Północny
T20240622-000,2024-06-22,Dom i ogród,Komplet pościeli Dream,192.15,2,384.3,12.0,396.3,Wschodni
T20240923-000,2024-09-23,Zabawki,Auto zdalnie sterowane RacerX,218.4,2,436.8,20.0,456.8,Zachodni
T20240630-000,2024-06-30,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,2,914.4,20.0,934.4,Centralny
T20240113-000,2024-01-13,Dom i ogród,Lampa stojąca Modern,237.8,1,237.8,20.0,257.8,Północny
T20240812-000,2024-08-12,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,1,196.2,20.0,216.2,Zachodni
T20241117-000,2024-11-17,Książki,Kryminał 'Ciemna Noc',39.92,1,39.92,8.0,47.92,Zachodni
T20240321-000,2024-03-21,Elektronika,Tablet MediaPad 10,1392.0,3,4176.0,40.0,4216.0,Zachodni
T20240529-001,2024-05-29,Elektronika,Tablet MediaPad 10,1392.0,1,1392.0,40.0,1432.0,Południowy
T20241021-000,2024-10-21,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Zachodni
T20240719-000,2024-07-19,Książki,Poradnik 'Skuteczny Excel',63.02,3,189.06,8.0,197.06,Zachodni
T20241124-000,2024-11-24,Odzież,T-shirt BasicColor,70.75,1,70.75,12.0,82.75,Zachodni
T20240921-000,2024-09-21,Artykuły sportowe,Piłka do koszykówki Pro,124.2,2,248.4,12.0,260.4,Południowy
T20240922-000,2024-09-22,Artykuły sportowe,Hantle 5kg zestaw,146.0,1,146.0,20.0,166.0,Centralny
T20240229-000,2024-02-29,Elektronika,Smartwatch FitPro,703.0,1,703.0,20.0,723.0,Centralny
T20240111-000,2024-01-11,Dom i ogród,Komplet pościeli Dream,192.15,2,384.3,12.0,396.3,Wschodni
T20240813-001,2024-08-13,Odzież,Sukienka letnia Sunshine,160.2,1,160.2,12.0,172.2,Wschodni
T20240605-000,2024-06-05,Artykuły sportowe,Piłka do koszykówki Pro,124.2,3,372.6,12.0,384.6,Centralny
T20241001-000,2024-10-01,Odzież,T-shirt BasicColor,70.75,1,70.75,12.0,82.75,Północny
T20240906-001,2024-09-06,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Centralny
T20241124-001,2024-11-24,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,3,923.4,12.0,935.4,Północny
T20240916-000,2024-09-16,Zabawki,Lalka interaktywna TalkingFriend,153.6,2,307.2,12.0,319.2,Centralny
T20240304-000,2024-03-04,Artykuły sportowe,Mata do jogi Comfort,87.4,3,262.2,12.0,274.2,Południowy
T20240110-001,2024-01-10,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,1,196.2,20.0,216.2,Zachodni
T20240211-000,2024-02-11,Książki,Poradnik 'Skuteczny Excel',63.02,1,63.02,8.0,71.02,Północny
T20240831-001,2024-08-31,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Południowy
T20240413-000,2024-04-13,Artykuły sportowe,Rower górski XTerra,1763.0,2,3526.0,40.0,3566.0,Zachodni
T20240523-000,2024-05-23,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,2,615.6,12.0,627.6,Południowy
T20240818-000,2024-08-18,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Południowy
T20241111-000,2024-11-11,Artykuły sportowe,Kijki trekkingowe Hike,130.8,2,261.6,12.0,273.6,Zachodni
T20241005-000,2024-10-05,Artykuły sportowe,Rower górski XTerra,1763.0,3,5289.0,40.0,5329.0,Północny
T20241211-000,2024-12-11,Książki,Atlas Świata 2024,97.1,4,388.4,8.0,396.4,Wschodni
T20241018-001,2024-10-18,Dom i ogród,Komplet pościeli Dream,192.15,2,384.3,12.0,396.3,Południowy
T20240201-000,2024-02-01,Zabawki,Puzzle 1000el. WorldMap,72.3,1,72.3,12.0,84.3,Wschodni
T20241106-000,2024-11-06,Książki,Poradnik 'Skuteczny Excel',63.02,1,63.02,8.0,71.02,Zachodni
T20240104-000,2024-01-04,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,2,914.4,20.0,934.4,Południowy
T20241202-001,2024-12-02,Zabawki,Gra planszowa FamilyFun,128.05,2,256.1,12.0,268.1,Północny
T20241128-001,2024-11-28,Artykuły sportowe,Rower górski XTerra,1763.0,2,3526.0,40.0,3566.0,Północny
T20240611-002,2024-06-11,Dom i ogród,Komplet pościeli Dream,192.15,1,192.15,12.0,204.15,Wschodni
T20240921-001,2024-09-21,Artykuły sportowe,Mata do jogi Comfort,87.4,1,87.4,12.0,99.4,Zachodni
T20240327-000,2024-03-27,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,2,2272.8,40.0,2312.8,Wschodni
T20240824-000,2024-08-24,Elektronika,Smartwatch FitPro,703.0,2,1406.0,20.0,1426.0,Centralny
T20240524-000,2024-05-24,Elektronika,Smartfon Galaxy X20,2228.0,2,4456.0,40.0,4496.0,Południowy
T20240401-001,2024-04-01,Elektronika,Smartwatch FitPro,703.0,5,3515.0,20.0,3535.0,Zachodni
T20240128-000,2024-01-28,Dom i ogród,Lampa stojąca Modern,237.8,1,237.8,20.0,257.8,Zachodni
T20240118-000,2024-01-18,Elektronika,Smartfon Galaxy X20,2228.0,1,2228.0,40.0,2268.0,Zachodni
T20240222-000,2024-02-22,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,2,615.6,12.0,627.6,Centralny
T20240802-000,2024-08-02,Elektronika,Smartfon Galaxy X20,2228.0,5,11140.0,40.0,11180.0,Zachodni
T20240805-001,2024-08-05,Książki,Kryminał 'Ciemna Noc',39.92,1,39.92,8.0,47.92,Centralny
T20241213-002,2024-12-13,Dom i ogród,Narzędzia ogrodnicze Garden+,180.1,1,180.1,12.0,192.1,Południowy
T20240217-001,2024-02-17,Książki,Poradnik 'Skuteczny Excel',63.02,1,63.02,8.0,71.02,Wschodni
T20240507-000,2024-05-07,Dom i ogród,Lampa stojąca Modern,237.8,1,237.8,20.0,257.8,Wschodni
T20240905-000,2024-09-05,Odzież,Sukienka letnia Sunshine,160.2,2,320.4,12.0,332.4,Wschodni
T20240226-000,2024-02-26,Książki,Poradnik 'Skuteczny Excel',63.02,1,63.02,8.0,71.02,Zachodni
T20241231-000,2024-12-31,Odzież,Kurtka zimowa męska Alpine,378.4,5,1892.0,20.0,1912.0,Zachodni
T20241107-000,2024-11-07,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,1,307.8,12.0,319.8,Zachodni
T20240318-001,2024-03-18,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Wschodni
T20241212-002,2024-12-12,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,2,615.6,12.0,627.6,Centralny
T20241115-000,2024-11-15,Książki,Powieść 'Tajemnica Gór',41.75,1,41.75,8.0,49.75,Zachodni
T20240414-000,2024-04-14,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Wschodni
T20241104-001,2024-11-04,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Zachodni
T20240905-001,2024-09-05,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,1,457.2,20.0,477.2,Południowy
T20241109-000,2024-11-09,Elektronika,Tablet MediaPad 10,1392.0,1,1392.0,40.0,1432.0,Centralny
T20240505-001,2024-05-05,Dom i ogród,Narzędzia ogrodnicze Garden+,180.1,1,180.1,12.0,192.1,Północny
T20241104-002,2024-11-04,Odzież,Sukienka letnia Sunshine,160.2,1,160.2,12.0,172.2,Południowy
T20241207-000,2024-12-07,Książki,Atlas Świata 2024,97.1,2,194.2,8.0,202.2,Południowy
T20241123-000,2024-11-23,Artykuły sportowe,Piłka do koszykówki Pro,124.2,3,372.6,12.0,384.6,Zachodni
T20240622-001,2024-06-22,Artykuły sportowe,Mata do jogi Comfort,87.4,2,174.8,12.0,186.8,Północny
T20240804-000,2024-08-04,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Wschodni
T20240904-000,2024-09-04,Książki,Powieść 'Tajemnica Gór',41.75,2,83.5,8.0,91.5,Południowy
T20240321-001,2024-03-21,Odzież,T-shirt BasicColor,70.75,4,283.0,12.0,295.0,Północny
T20240522-000,2024-05-22,Książki,Książka kucharska 'Smaki Azji',70.92,2,141.84,8.0,149.84,Centralny
T20240916-001,2024-09-16,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,2,615.6,12.0,627.6,Zachodni
T20240622-002,2024-06-22,Książki,Książka kucharska 'Smaki Azji',70.92,2,141.84,8.0,149.84,Zachodni
T20240813-002,2024-08-13,Dom i ogród,Komplet pościeli Dream,192.15,1,192.15,12.0,204.15,Południowy
T20240427-000,2024-04-27,Odzież,T-shirt BasicColor,70.75,1,70.75,12.0,82.75,Zachodni
T20240608-000,2024-06-08,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,1,457.2,20.0,477.2,Wschodni
T20240219-000,2024-02-19,Książki,Powieść 'Tajemnica Gór',41.75,1,41.75,8.0,49.75,Wschodni
T20241118-001,2024-11-18,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,2,615.6,12.0,627.6,Zachodni
T20240525-001,2024-05-25,Odzież,Kurtka zimowa męska Alpine,378.4,3,1135.2,20.0,1155.2,Zachodni
T20240903-001,2024-09-03,Zabawki,Lalka interaktywna TalkingFriend,153.6,3,460.8,12.0,472.8,Centralny
T20240907-000,2024-09-07,Odzież,Spodnie jeansowe ClassicBlue,172.2,4,688.8,12.0,700.8,Północny
T20241105-000,2024-11-05,Zabawki,Gra planszowa FamilyFun,128.05,1,128.05,12.0,140.05,Południowy
T20241125-001,2024-11-25,Elektronika,Smartwatch FitPro,703.0,2,1406.0,20.0,1426.0,Południowy
T20240924-000,2024-09-24,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Centralny
T20240906-002,2024-09-06,Artykuły sportowe,Mata do jogi Comfort,87.4,1,87.4,12.0,99.4,Wschodni
T20240301-000,2024-03-01,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Centralny
T20240128-001,2024-01-28,Zabawki,Puzzle 1000el. WorldMap,72.3,2,144.6,12.0,156.6,Zachodni
T20240523-001,2024-05-23,Elektronika,Smartfon Galaxy X20,2228.0,1,2228.0,40.0,2268.0,Południowy
T20241008-000,2024-10-08,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,1,307.8,12.0,319.8,Północny
T20240502-000,2024-05-02,Książki,Książka kucharska 'Smaki Azji',70.92,2,141.84,8.0,149.84,Zachodni
T20240526-000,2024-05-26,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Zachodni
T20240207-000,2024-02-07,Odzież,Buty sportowe RunFast,284.0,2,568.0,20.0,588.0,Centralny
T20240125-000,2024-01-25,Elektronika,Smartwatch FitPro,703.0,2,1406.0,20.0,1426.0,Północny
T20240217-002,2024-02-17,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Północny
T20240318-002,2024-03-18,Artykuły sportowe,Mata do jogi Comfort,87.4,1,87.4,12.0,99.4,Centralny
T20240120-000,2024-01-20,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Północny
T20240318-003,2024-03-18,Elektronika,Tablet MediaPad 10,1392.0,3,4176.0,40.0,4216.0,Zachodni
T20240609-000,2024-06-09,Artykuły sportowe,Kijki trekkingowe Hike,130.8,1,130.8,12.0,142.8,Centralny
T20240124-000,2024-01-24,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,2,392.4,20.0,412.4,Północny
T20240219-001,2024-02-19,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Zachodni
T20240103-001,2024-01-03,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Północny
T20240704-000,2024-07-04,Elektronika,Laptop ProBook Air,4036.5,1,4036.5,40.0,4076.5,Północny
T20240105-000,2024-01-05,Dom i ogród,Narzędzia ogrodnicze Garden+,180.1,1,180.1,12.0,192.1,Wschodni
T20240515-001,2024-05-15,Odzież,Kurtka zimowa męska Alpine,378.4,3,1135.2,20.0,1155.2,Południowy
T20240425-001,2024-04-25,Artykuły sportowe,Piłka do koszykówki Pro,124.2,2,248.4,12.0,260.4,Centralny
T20240814-000,2024-08-14,Elektronika,Laptop ProBook Air,4036.5,1,4036.5,40.0,4076.5,Zachodni
T20240307-000,2024-03-07,Artykuły sportowe,Mata do jogi Comfort,87.4,2,174.8,12.0,186.8,Północny
T20240824-001,2024-08-24,Książki,Atlas Świata 2024,97.1,1,97.1,8.0,105.1,Południowy
T20240217-003,2024-02-17,Artykuły sportowe,Hantle 5kg zestaw,146.0,2,292.0,20.0,312.0,Południowy
T20241231-001,2024-12-31,Zabawki,Auto zdalnie sterowane RacerX,218.4,1,218.4,20.0,238.4,Wschodni
T20241014-000,2024-10-14,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Centralny
T20240118-001,2024-01-18,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Zachodni
T20240305-000,2024-03-05,Elektronika,Smartfon Galaxy X20,2228.0,2,4456.0,40.0,4496.0,Północny
T20240920-001,2024-09-20,Elektronika,Tablet MediaPad 10,1392.0,1,1392.0,40.0,1432.0,Centralny
T20240922-001,2024-09-22,Odzież,Sukienka letnia Sunshine,160.2,4,640.8,12.0,652.8,Południowy
T20240608-001,2024-06-08,Odzież,T-shirt BasicColor,70.75,3,212.25,12.0,224.25,Północny
T20241130-000,2024-11-30,Odzież,Spodnie jeansowe ClassicBlue,172.2,1,172.2,12.0,184.2,Zachodni
T20240201-001,2024-02-01,Książki,Atlas Świata 2024,97.1,1,97.1,8.0,105.1,Północny
T20240903-002,2024-09-03,Zabawki,Puzzle 1000el. WorldMap,72.3,1,72.3,12.0,84.3,Zachodni
T20240726-001,2024-07-26,Odzież,T-shirt BasicColor,70.75,2,141.5,12.0,153.5,Wschodni
T20241019-000,2024-10-19,Odzież,Sukienka letnia Sunshine,160.2,1,160.2,12.0,172.2,Północny
